store,date,sales
1,2013-05-11,2431
1,2013-05-12,2577
1,2013-05-13,1725
1,2013-05-14,2019
1,2013-05-15,2092
1,2013-05-16,2191
1,2013-05-17,2420
1,2013-05-18,2547
1,2013-05-19,2663
1,2013-05-20,1767
1,2013-05-21,2044
1,2013-05-22,2119
1,2013-05-23,2306
1,2013-05-24,2396
1,2013-05-25,2522
1,2013-05-26,2766
1,2013-05-27,1787
1,2013-05-28,2049
1,2013-05-29,2065
1,2013-05-30,2204
1,2013-05-31,2388
1,2013-06-01,2631
1,2013-06-02,2736
1,2013-06-03,1874
1,2013-06-04,2184
1,2013-06-05,2155
1,2013-06-06,2300
1,2013-06-07,2427
1,2013-06-08,2657
1,2013-06-09,2903
1,2013-06-10,1957
1,2013-06-11,2187
1,2013-06-12,2231
1,2013-06-13,2275
1,2013-06-14,2511
1,2013-06-15,2647
1,2013-06-16,2838
1,2013-06-17,1790
1,2013-06-18,2176
1,2013-06-19,2243
1,2013-06-20,2279
1,2013-06-21,2527
1,2013-06-22,2701
1,2013-06-23,2880
1,2013-06-24,1961
1,2013-06-25,2138
1,2013-06-26,2187
1,2013-06-27,2366
1,2013-06-28,2426
1,2013-06-29,2569
1,2013-06-30,2775
1,2013-07-01,1923
1,2013-07-02,2354
1,2013-07-03,2283
1,2013-07-04,2532
1,2013-07-05,2668
1,2013-07-06,2849
1,2013-07-07,2998
1,2013-07-08,2145
1,2013-07-09,2274
1,2013-07-10,2288
1,2013-07-11,2494
1,2013-07-12,2654
1,2013-07-13,2838
1,2013-07-14,3022
1,2013-07-15,2058
1,2013-07-16,2402
1,2013-07-17,2319
1,2013-07-18,2495
1,2013-07-19,2693
1,2013-07-20,2861
1,2013-07-21,2934
1,2013-07-22,1998
1,2013-07-23,2325
1,2013-07-24,2328
1,2013-07-25,2532
1,2013-07-26,2659
1,2013-07-27,2868
1,2013-07-28,3009
1,2013-07-29,1965
1,2013-07-30,2407
1,2013-07-31,2352
1,2013-08-01,2260
1,2013-08-02,2370
1,2013-08-03,2497
1,2013-08-04,2685
1,2013-08-05,1788
1,2013-08-06,2129
1,2013-08-07,2020
1,2013-08-08,2170
1,2013-08-09,2392
1,2013-08-10,2511
1,2013-08-11,2633
1,2013-08-12,1793
1,2013-08-13,2081
1,2013-08-14,2080
1,2013-08-15,2250
1,2013-08-16,2418
1,2013-08-17,2637
1,2013-08-18,2575
1,2013-08-19,1762
1,2013-08-20,2083
1,2013-08-21,2061
1,2013-08-22,2253
1,2013-08-23,2354
1,2013-08-24,2508
1,2013-08-25,2601
1,2013-08-26,1759
1,2013-08-27,2053
1,2013-08-28,2018
1,2013-08-29,2175
1,2013-08-30,2310
1,2013-08-31,2519
1,2013-09-01,2467
1,2013-09-02,1655
1,2013-09-03,1908
1,2013-09-04,1882
1,2013-09-05,2096
1,2013-09-06,2128
1,2013-09-07,2393
1,2013-09-08,2514
1,2013-09-09,1601
1,2013-09-10,1890
1,2013-09-11,1905
1,2013-09-12,2032
1,2013-09-13,2199
1,2013-09-14,2339
1,2013-09-15,2490
1,2013-09-16,1662
1,2013-09-17,1839
1,2013-09-18,1994
1,2013-09-19,2081
1,2013-09-20,2134
1,2013-09-21,2385
1,2013-09-22,2454
1,2013-09-23,1715
1,2013-09-24,1930
1,2013-09-25,1987
1,2013-09-26,2043
1,2013-09-27,2272
1,2013-09-28,2250
1,2013-09-29,2547
1,2013-09-30,1616
1,2013-10-01,1712
1,2013-10-02,1771
1,2013-10-03,1873
1,2013-10-04,2006
1,2013-10-05,2091
1,2013-10-06,2397
1,2013-10-07,1483
1,2013-10-08,1746
1,2013-10-09,1828
1,2013-10-10,1892
1,2013-10-11,2038
1,2013-10-12,2133
1,2013-10-13,2246
1,2013-10-14,1525
1,2013-10-15,1802
1,2013-10-16,1805
1,2013-10-17,1898
1,2013-10-18,2027
1,2013-10-19,2163
1,2013-10-20,2260
1,2013-10-21,1533
1,2013-10-22,1819
1,2013-10-23,1825
1,2013-10-24,1926
1,2013-10-25,2008
1,2013-10-26,2161
1,2013-10-27,2231
1,2013-10-28,1502
1,2013-10-29,1764
1,2013-10-30,1801
1,2013-10-31,1864
1,2013-11-01,2230
1,2013-11-02,2340
1,2013-11-03,2477
1,2013-11-04,1569
1,2013-11-05,1970
1,2013-11-06,1952
1,2013-11-07,2029
1,2013-11-08,2187
1,2013-11-09,2275
1,2013-11-10,2407
1,2013-11-11,1632
1,2013-11-12,1912
1,2013-11-13,1872
1,2013-11-14,2033
1,2013-11-15,2257
1,2013-11-16,2288
1,2013-11-17,2408
1,2013-11-18,1581
1,2013-11-19,1909
1,2013-11-20,1942
1,2013-11-21,2042
1,2013-11-22,2227
1,2013-11-23,2325
1,2013-11-24,2455
1,2013-11-25,1565
1,2013-11-26,1953
1,2013-11-27,1959
1,2013-11-28,2015
1,2013-11-29,2283
1,2013-11-30,2371
1,2013-12-01,1833
1,2013-12-02,1177
1,2013-12-03,1369
1,2013-12-04,1435
1,2013-12-05,1482
1,2013-12-06,1603
1,2013-12-07,1710
1,2013-12-08,1826
1,2013-12-09,1151
1,2013-12-10,1355
1,2013-12-11,1352
1,2013-12-12,1528
1,2013-12-13,1536
1,2013-12-14,1646
1,2013-12-15,1851
1,2013-12-16,1154
1,2013-12-17,1354
1,2013-12-18,1301
1,2013-12-19,1451
1,2013-12-20,1549
1,2013-12-21,1709
1,2013-12-22,1806
1,2013-12-23,1141
1,2013-12-24,1369
1,2013-12-25,1425
1,2013-12-26,1505
1,2013-12-27,1527
1,2013-12-28,1622
1,2013-12-29,1750
1,2013-12-30,1181
1,2013-12-31,1331
1,2014-01-01,1366
1,2014-01-02,1559
1,2014-01-03,1569
1,2014-01-04,1692
1,2014-01-05,1946
1,2014-01-06,1179
1,2014-01-07,1444
1,2014-01-08,1460
1,2014-01-09,1599
1,2014-01-10,1642
1,2014-01-11,1723
1,2014-01-12,1806
1,2014-01-13,1217
1,2014-01-14,1484
1,2014-01-15,1362
1,2014-01-16,1535
1,2014-01-17,1642
1,2014-01-18,1738
1,2014-01-19,1853
1,2014-01-20,1238
1,2014-01-21,1369
1,2014-01-22,1433
1,2014-01-23,1507
1,2014-01-24,1654
1,2014-01-25,1733
1,2014-01-26,1851
1,2014-01-27,1186
1,2014-01-28,1411
1,2014-01-29,1455
1,2014-01-30,1496
1,2014-01-31,1639
1,2014-02-01,1890
1,2014-02-02,2010
1,2014-02-03,1382
1,2014-02-04,1567
1,2014-02-05,1589
1,2014-02-06,1733
1,2014-02-07,1758
1,2014-02-08,1998
1,2014-02-09,2024
1,2014-02-10,1317
1,2014-02-11,1557
1,2014-02-12,1584
1,2014-02-13,1706
1,2014-02-14,1833
1,2014-02-15,1958
1,2014-02-16,2024
1,2014-02-17,1368
1,2014-02-18,1582
1,2014-02-19,1556
1,2014-02-20,1704
1,2014-02-21,1755
1,2014-02-22,1918
1,2014-02-23,2104
1,2014-02-24,1324
1,2014-02-25,1557
1,2014-02-26,1589
1,2014-02-27,1674
1,2014-02-28,1777
1,2014-03-01,2271
1,2014-03-02,2433
1,2014-03-03,1650
1,2014-03-04,1964
1,2014-03-05,1919
1,2014-03-06,1983
1,2014-03-07,2225
1,2014-03-08,2297
1,2014-03-09,2514
1,2014-03-10,1588
1,2014-03-11,1878
1,2014-03-12,1866
1,2014-03-13,2045
1,2014-03-14,2087
1,2014-03-15,2318
1,2014-03-16,2405
1,2014-03-17,1619
1,2014-03-18,1948
1,2014-03-19,1952
1,2014-03-20,1972
1,2014-03-21,2181
1,2014-03-22,2273
1,2014-03-23,2445
1,2014-03-24,1631
1,2014-03-25,1841
1,2014-03-26,1940
1,2014-03-27,2006
1,2014-03-28,2136
1,2014-03-29,2293
1,2014-03-30,2411
1,2014-03-31,1638
1,2014-04-01,2178
1,2014-04-02,2154
1,2014-04-03,2394
1,2014-04-04,2486
1,2014-04-05,2678
1,2014-04-06,2938
1,2014-04-07,1912
1,2014-04-08,2135
1,2014-04-09,2150
1,2014-04-10,2431
1,2014-04-11,2504
1,2014-04-12,2754
1,2014-04-13,2833
1,2014-04-14,1955
1,2014-04-15,2159
1,2014-04-16,2125
1,2014-04-17,2397
1,2014-04-18,2487
1,2014-04-19,2740
1,2014-04-20,2885
1,2014-04-21,1844
1,2014-04-22,2259
1,2014-04-23,2162
1,2014-04-24,2342
1,2014-04-25,2497
1,2014-04-26,2707
1,2014-04-27,2774
1,2014-04-28,1864
1,2014-04-29,2154
1,2014-04-30,2251
1,2014-05-01,2571
1,2014-05-02,2747
1,2014-05-03,2877
1,2014-05-04,3024
1,2014-05-05,2046
1,2014-05-06,2348
1,2014-05-07,2400
1,2014-05-08,2481
1,2014-05-09,2632
1,2014-05-10,2923
1,2014-05-11,3116
1,2014-05-12,2098
1,2014-05-13,2432
1,2014-05-14,2381
1,2014-05-15,2590
1,2014-05-16,2740
1,2014-05-17,2910
1,2014-05-18,3079
1,2014-05-19,1994
1,2014-05-20,2344
1,2014-05-21,2346
1,2014-05-22,2554
1,2014-05-23,2671
1,2014-05-24,2810
1,2014-05-25,3050
1,2014-05-26,1967
1,2014-05-27,2297
1,2014-05-28,2372
1,2014-05-29,2566
1,2014-05-30,2812
1,2014-05-31,2930
1,2014-06-01,3361
1,2014-06-02,2266
1,2014-06-03,2507
1,2014-06-04,2541
1,2014-06-05,2678
1,2014-06-06,2839
1,2014-06-07,3014
1,2014-06-08,3267
1,2014-06-09,2127
1,2014-06-10,2563
1,2014-06-11,2606
1,2014-06-12,2643
1,2014-06-13,2916
1,2014-06-14,3059
1,2014-06-15,3314
1,2014-06-16,2141
1,2014-06-17,2615
1,2014-06-18,2504
1,2014-06-19,2764
1,2014-06-20,2701
1,2014-06-21,3102
1,2014-06-22,3320
1,2014-06-23,2184
1,2014-06-24,2445
1,2014-06-25,2555
1,2014-06-26,2787
1,2014-06-27,2788
1,2014-06-28,3137
1,2014-06-29,3274
1,2014-06-30,2178
1,2014-07-01,2655
1,2014-07-02,2692
1,2014-07-03,2859
1,2014-07-04,3050
1,2014-07-05,3128
1,2014-07-06,3470
1,2014-07-07,2262
1,2014-07-08,2684
1,2014-07-09,2668
1,2014-07-10,2871
1,2014-07-11,3027
1,2014-07-12,3203
1,2014-07-13,3485
1,2014-07-14,2285
1,2014-07-15,2644
1,2014-07-16,2696
1,2014-07-17,2901
1,2014-07-18,3058
1,2014-07-19,3227
1,2014-07-20,3323
1,2014-07-21,2473
1,2014-07-22,2712
1,2014-07-23,2616
1,2014-07-24,2855
1,2014-07-25,3113
1,2014-07-26,3295
1,2014-07-27,3548
1,2014-07-28,2269
1,2014-07-29,2784
1,2014-07-30,2654
1,2014-07-31,2882
1,2014-08-01,2614
1,2014-08-02,2816
1,2014-08-03,3011
1,2014-08-04,2074
1,2014-08-05,2309
1,2014-08-06,2348
1,2014-08-07,2572
1,2014-08-08,2673
1,2014-08-09,2975
1,2014-08-10,2986
1,2014-08-11,1915
1,2014-08-12,2438
1,2014-08-13,2328
1,2014-08-14,2491
1,2014-08-15,2723
1,2014-08-16,2922
1,2014-08-17,3012
1,2014-08-18,2099
1,2014-08-19,2368
1,2014-08-20,2358
1,2014-08-21,2472
1,2014-08-22,2689
1,2014-08-23,2800
1,2014-08-24,2952
1,2014-08-25,2020
1,2014-08-26,2349
1,2014-08-27,2358
1,2014-08-28,2427
1,2014-08-29,2718
1,2014-08-30,2901
1,2014-08-31,3076
1,2014-09-01,1839
1,2014-09-02,2230
1,2014-09-03,2289
1,2014-09-04,2382
1,2014-09-05,2516
1,2014-09-06,2600
1,2014-09-07,2860
1,2014-09-08,1936
1,2014-09-09,2166
1,2014-09-10,2205
1,2014-09-11,2377
1,2014-09-12,2527
1,2014-09-13,2690
1,2014-09-14,2879
1,2014-09-15,1900
1,2014-09-16,2212
1,2014-09-17,2293
1,2014-09-18,2322
1,2014-09-19,2540
1,2014-09-20,2676
1,2014-09-21,2899
1,2014-09-22,1845
1,2014-09-23,2261
1,2014-09-24,2260
1,2014-09-25,2277
1,2014-09-26,2494
1,2014-09-27,2707
1,2014-09-28,2859
1,2014-09-29,1869
1,2014-09-30,2224
1,2014-10-01,2046
1,2014-10-02,2229
1,2014-10-03,2339
1,2014-10-04,2510
1,2014-10-05,2640
1,2014-10-06,1754
1,2014-10-07,1980
1,2014-10-08,2051
1,2014-10-09,2216
1,2014-10-10,2304
1,2014-10-11,2597
1,2014-10-12,2705
1,2014-10-13,1709
1,2014-10-14,2007
1,2014-10-15,2088
1,2014-10-16,2181
1,2014-10-17,2300
1,2014-10-18,2524
1,2014-10-19,2707
1,2014-10-20,1761
1,2014-10-21,2082
1,2014-10-22,2054
1,2014-10-23,2170
1,2014-10-24,2311
1,2014-10-25,2530
1,2014-10-26,2687
1,2014-10-27,1735
1,2014-10-28,2067
1,2014-10-29,1981
1,2014-10-30,2190
1,2014-10-31,2285
1,2014-11-01,2618
1,2014-11-02,2831
1,2014-11-03,1882
1,2014-11-04,2280
1,2014-11-05,2164
1,2014-11-06,2380
1,2014-11-07,2477
1,2014-11-08,2698
1,2014-11-09,2842
1,2014-11-10,1892
1,2014-11-11,2246
1,2014-11-12,2190
1,2014-11-13,2423
1,2014-11-14,2514
1,2014-11-15,2714
1,2014-11-16,2852
1,2014-11-17,1908
1,2014-11-18,2135
1,2014-11-19,2265
1,2014-11-20,2369
1,2014-11-21,2481
1,2014-11-22,2686
1,2014-11-23,2880
1,2014-11-24,1844
1,2014-11-25,2258
1,2014-11-26,2271
1,2014-11-27,2322
1,2014-11-28,2565
1,2014-11-29,2707
1,2014-11-30,2812
1,2014-12-01,1356
1,2014-12-02,1652
1,2014-12-03,1582
1,2014-12-04,1750
1,2014-12-05,1776
1,2014-12-06,1846
1,2014-12-07,1970
1,2014-12-08,1325
1,2014-12-09,1625
1,2014-12-10,1602
1,2014-12-11,1721
1,2014-12-12,1769
1,2014-12-13,1899
1,2014-12-14,2037
1,2014-12-15,1297
1,2014-12-16,1563
1,2014-12-17,1610
1,2014-12-18,1679
1,2014-12-19,1825
1,2014-12-20,1941
1,2014-12-21,2051
1,2014-12-22,1431
1,2014-12-23,1646
1,2014-12-24,1638
1,2014-12-25,1708
1,2014-12-26,1773
1,2014-12-27,1907
1,2014-12-28,2038
1,2014-12-29,1308
1,2014-12-30,1507
1,2014-12-31,1583
1,2015-01-01,1508
1,2015-01-02,1681
1,2015-01-03,1741
1,2015-01-04,1932
1,2015-01-05,1337
1,2015-01-06,1430
1,2015-01-07,1501
1,2015-01-08,1617
1,2015-01-09,1650
1,2015-01-10,1808
1,2015-01-11,1904
1,2015-01-12,1296
1,2015-01-13,1444
1,2015-01-14,1462
1,2015-01-15,1573
1,2015-01-16,1679
1,2015-01-17,1799
1,2015-01-18,1873
1,2015-01-19,1294
1,2015-01-20,1519
1,2015-01-21,1479
1,2015-01-22,1568
1,2015-01-23,1738
1,2015-01-24,1828
1,2015-01-25,1874
1,2015-01-26,1276
1,2015-01-27,1510
1,2015-01-28,1487
1,2015-01-29,1547
1,2015-01-30,1665
1,2015-01-31,1822
1,2015-02-01,2127
1,2015-02-02,1410
1,2015-02-03,1574
1,2015-02-04,1630
1,2015-02-05,1739
1,2015-02-06,1857
1,2015-02-07,1926
1,2015-02-08,2186
1,2015-02-09,1461
1,2015-02-10,1690
1,2015-02-11,1668
1,2015-02-12,1750
1,2015-02-13,1873
1,2015-02-14,1996
1,2015-02-15,2158
1,2015-02-16,1417
1,2015-02-17,1653
1,2015-02-18,1656
1,2015-02-19,1814
1,2015-02-20,1814
1,2015-02-21,1908
1,2015-02-22,2093
1,2015-02-23,1365
1,2015-02-24,1563
1,2015-02-25,1606
1,2015-02-26,1744
1,2015-02-27,1801
1,2015-02-28,2051
1,2015-03-01,2526
1,2015-03-02,1706
1,2015-03-03,1920
1,2015-03-04,1995
1,2015-03-05,2122
1,2015-03-06,2204
1,2015-03-07,2424
1,2015-03-08,2557
1,2015-03-09,1697
1,2015-03-10,2038
1,2015-03-11,1970
1,2015-03-12,2064
1,2015-03-13,2425
1,2015-03-14,2430
1,2015-03-15,2580
1,2015-03-16,1678
1,2015-03-17,1965
1,2015-03-18,1963
1,2015-03-19,2128
1,2015-03-20,2304
1,2015-03-21,2408
1,2015-03-22,2511
1,2015-03-23,1660
1,2015-03-24,1927
1,2015-03-25,1976
1,2015-03-26,2065
1,2015-03-27,2172
1,2015-03-28,2311
1,2015-03-29,2631
1,2015-03-30,1701
1,2015-03-31,1998
1,2015-04-01,2256
1,2015-04-02,2546
1,2015-04-03,2710
1,2015-04-04,2816
1,2015-04-05,2955
1,2015-04-06,2046
1,2015-04-07,2312
1,2015-04-08,2340
1,2015-04-09,2509
1,2015-04-10,2533
1,2015-04-11,2793
1,2015-04-12,2943
1,2015-04-13,1958
1,2015-04-14,2273
1,2015-04-15,2224
1,2015-04-16,2474
1,2015-04-17,2717
1,2015-04-18,2776
1,2015-04-19,2985
1,2015-04-20,1965
1,2015-04-21,2297
1,2015-04-22,2354
1,2015-04-23,2469
1,2015-04-24,2589
1,2015-04-25,2794
1,2015-04-26,3011
1,2015-04-27,1907
1,2015-04-28,2309
1,2015-04-29,2291
1,2015-04-30,2549
1,2015-05-01,2743
1,2015-05-02,3037
1,2015-05-03,3193
1,2015-05-04,2186
1,2015-05-05,2411
1,2015-05-06,2494
1,2015-05-07,2485
1,2015-05-08,2812
1,2015-05-09,2911
1,2015-05-10,3157
1,2015-05-11,2046
1,2015-05-12,2500
1,2015-05-13,2513
1,2015-05-14,2658
1,2015-05-15,2848
1,2015-05-16,3006
1,2015-05-17,3148
1,2015-05-18,2128
1,2015-05-19,2472
1,2015-05-20,2437
1,2015-05-21,2627
1,2015-05-22,2736
1,2015-05-23,2918
1,2015-05-24,3208
1,2015-05-25,2127
1,2015-05-26,2543
1,2015-05-27,2531
1,2015-05-28,2607
1,2015-05-29,2841
1,2015-05-30,3086
1,2015-05-31,3114
1,2015-06-01,2328
1,2015-06-02,2677
1,2015-06-03,2697
1,2015-06-04,2831
1,2015-06-05,3016
1,2015-06-06,3252
1,2015-06-07,3322
1,2015-06-08,2129
1,2015-06-09,2585
1,2015-06-10,2626
1,2015-06-11,2789
1,2015-06-12,3002
1,2015-06-13,3295
1,2015-06-14,3409
1,2015-06-15,2244
1,2015-06-16,2625
1,2015-06-17,2611
1,2015-06-18,2800
1,2015-06-19,3094
1,2015-06-20,3074
1,2015-06-21,3394
1,2015-06-22,2253
1,2015-06-23,2692
1,2015-06-24,2683
1,2015-06-25,2752
1,2015-06-26,3067
1,2015-06-27,3178
1,2015-06-28,3391
1,2015-06-29,2309
1,2015-06-30,2620
1,2015-07-01,2755
1,2015-07-02,2970
1,2015-07-03,3213
1,2015-07-04,3492
1,2015-07-05,3543
1,2015-07-06,2371
1,2015-07-07,2828
1,2015-07-08,2877
1,2015-07-09,2922
1,2015-07-10,3197
1,2015-07-11,3422
1,2015-07-12,3513
1,2015-07-13,2406
1,2015-07-14,2831
1,2015-07-15,2770
1,2015-07-16,3034
1,2015-07-17,3280
1,2015-07-18,3380
1,2015-07-19,3647
1,2015-07-20,2528
1,2015-07-21,2781
1,2015-07-22,2838
1,2015-07-23,2973
1,2015-07-24,3158
1,2015-07-25,3440
1,2015-07-26,3619
1,2015-07-27,2273
1,2015-07-28,2759
1,2015-07-29,2844
1,2015-07-30,3052
1,2015-07-31,3253
1,2015-08-01,3022
1,2015-08-02,3192
1,2015-08-03,2058
1,2015-08-04,2433
1,2015-08-05,2452
1,2015-08-06,2732
1,2015-08-07,2826
1,2015-08-08,3049
1,2015-08-09,3210
1,2015-08-10,2089
1,2015-08-11,2442
1,2015-08-12,2512
1,2015-08-13,2630
1,2015-08-14,2803
1,2015-08-15,2966
1,2015-08-16,3179
1,2015-08-17,2193
1,2015-08-18,2383
1,2015-08-19,2491
1,2015-08-20,2673
1,2015-08-21,2881
1,2015-08-22,3080
1,2015-08-23,3218
1,2015-08-24,2037
1,2015-08-25,2462
1,2015-08-26,2523
1,2015-08-27,2703
1,2015-08-28,2827
1,2015-08-29,2949
1,2015-08-30,3231
1,2015-08-31,2196
1,2015-09-01,2329
1,2015-09-02,2258
1,2015-09-03,2479
1,2015-09-04,2691
1,2015-09-05,2731
1,2015-09-06,2986
1,2015-09-07,1984
1,2015-09-08,2282
1,2015-09-09,2315
1,2015-09-10,2533
1,2015-09-11,2613
1,2015-09-12,2800
1,2015-09-13,3037
1,2015-09-14,1887
1,2015-09-15,2214
1,2015-09-16,2319
1,2015-09-17,2446
1,2015-09-18,2627
1,2015-09-19,2891
1,2015-09-20,2937
1,2015-09-21,2015
1,2015-09-22,2278
1,2015-09-23,2349
1,2015-09-24,2519
1,2015-09-25,2517
1,2015-09-26,2797
1,2015-09-27,2939
1,2015-09-28,2012
1,2015-09-29,2265
1,2015-09-30,2339
1,2015-10-01,2303
1,2015-10-02,2396
1,2015-10-03,2638
1,2015-10-04,2754
1,2015-10-05,1845
1,2015-10-06,2180
1,2015-10-07,2094
1,2015-10-08,2287
1,2015-10-09,2413
1,2015-10-10,2615
1,2015-10-11,2731
1,2015-10-12,1830
1,2015-10-13,2201
1,2015-10-14,2145
1,2015-10-15,2309
1,2015-10-16,2411
1,2015-10-17,2658
1,2015-10-18,2796
1,2015-10-19,1911
1,2015-10-20,2071
1,2015-10-21,2177
1,2015-10-22,2376
1,2015-10-23,2433
1,2015-10-24,2582
1,2015-10-25,2794
1,2015-10-26,1815
1,2015-10-27,2199
1,2015-10-28,2228
1,2015-10-29,2230
1,2015-10-30,2522
1,2015-10-31,2576
1,2015-11-01,2891
1,2015-11-02,1938
1,2015-11-03,2398
1,2015-11-04,2340
1,2015-11-05,2417
1,2015-11-06,2645
1,2015-11-07,2731
1,2015-11-08,2849
1,2015-11-09,1900
1,2015-11-10,2246
1,2015-11-11,2390
1,2015-11-12,2409
1,2015-11-13,2635
1,2015-11-14,2718
1,2015-11-15,2930
1,2015-11-16,2035
1,2015-11-17,2368
1,2015-11-18,2278
1,2015-11-19,2435
1,2015-11-20,2678
1,2015-11-21,2809
1,2015-11-22,2890
1,2015-11-23,1950
1,2015-11-24,2231
1,2015-11-25,2365
1,2015-11-26,2489
1,2015-11-27,2656
1,2015-11-28,2803
1,2015-11-29,2925
1,2015-11-30,1943
1,2015-12-01,1566
1,2015-12-02,1641
1,2015-12-03,1715
1,2015-12-04,1898
1,2015-12-05,2027
1,2015-12-06,2141
1,2015-12-07,1373
1,2015-12-08,1675
1,2015-12-09,1653
1,2015-12-10,1785
1,2015-12-11,1898
1,2015-12-12,1955
1,2015-12-13,2108
1,2015-12-14,1396
1,2015-12-15,1651
1,2015-12-16,1751
1,2015-12-17,1722
1,2015-12-18,1810
1,2015-12-19,1989
1,2015-12-20,2109
1,2015-12-21,1417
1,2015-12-22,1609
1,2015-12-23,1595
1,2015-12-24,1806
1,2015-12-25,1906
1,2015-12-26,2025
1,2015-12-27,2107
1,2015-12-28,1320
1,2015-12-29,1657
1,2015-12-30,1619
1,2015-12-31,1777
1,2016-01-01,1721
1,2016-01-02,1937
1,2016-01-03,2125
1,2016-01-04,1347
1,2016-01-05,1608
1,2016-01-06,1622
1,2016-01-07,1784
1,2016-01-08,1860
1,2016-01-09,1914
1,2016-01-10,2045
1,2016-01-11,1389
1,2016-01-12,1646
1,2016-01-13,1600
1,2016-01-14,1782
1,2016-01-15,1880
1,2016-01-16,1958
1,2016-01-17,2167
1,2016-01-18,1346
1,2016-01-19,1529
1,2016-01-20,1610
1,2016-01-21,1723
1,2016-01-22,1851
1,2016-01-23,1907
1,2016-01-24,2071
1,2016-01-25,1291
1,2016-01-26,1674
1,2016-01-27,1601
1,2016-01-28,1670
1,2016-01-29,1863
1,2016-01-30,1949
1,2016-01-31,2089
1,2016-02-01,1562
1,2016-02-02,1762
1,2016-02-03,1735
1,2016-02-04,1907
1,2016-02-05,2090
1,2016-02-06,2239
1,2016-02-07,2243
1,2016-02-08,1505
1,2016-02-09,1816
1,2016-02-10,1806
1,2016-02-11,1966
1,2016-02-12,2056
1,2016-02-13,2141
1,2016-02-14,2260
1,2016-02-15,1522
1,2016-02-16,1781
1,2016-02-17,1800
1,2016-02-18,1930
1,2016-02-19,2040
1,2016-02-20,2168
1,2016-02-21,2352
1,2016-02-22,1580
1,2016-02-23,1814
1,2016-02-24,1798
1,2016-02-25,1898
1,2016-02-26,2071
1,2016-02-27,2136
1,2016-02-28,2265
1,2016-02-29,1479
1,2016-03-01,2131
1,2016-03-02,2142
1,2016-03-03,2317
1,2016-03-04,2453
1,2016-03-05,2617
1,2016-03-06,2705
1,2016-03-07,1832
1,2016-03-08,2134
1,2016-03-09,2150
1,2016-03-10,2307
